latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.785587,-122.40964,18.0,-25200,America/Los_Angeles,GMT-7

time,temperature_2m_max (°F)
2024-01-01,58.0
2024-01-02,59.6
2024-01-03,56.2
2024-01-04,58.3
2024-01-05,60.3
2024-01-06,55.4
2024-01-07,53.2
2024-01-08,51.8
2024-01-09,57.0
2024-01-10,54.7
2024-01-11,52.9
2024-01-12,53.5
2024-01-13,55.6
2024-01-14,57.3
2024-01-15,57.1
2024-01-16,55.0
2024-01-17,58.0
2024-01-18,59.2
2024-01-19,55.3
2024-01-20,58.3
2024-01-21,60.9
2024-01-22,58.2
2024-01-23,58.9
2024-01-24,59.4
2024-01-25,58.2
2024-01-26,62.2
2024-01-27,62.1
2024-01-28,68.5
2024-01-29,66.8
2024-01-30,60.6
2024-01-31,58.5
2024-02-01,56.1
2024-02-02,54.5
2024-02-03,53.8
2024-02-04,59.3
2024-02-05,55.9
2024-02-06,55.1
2024-02-07,53.0
2024-02-08,55.5
2024-02-09,53.7
2024-02-10,59.8
2024-02-11,57.1
2024-02-12,56.9
2024-02-13,56.9
2024-02-14,57.6
2024-02-15,58.9
2024-02-16,60.4
2024-02-17,58.1
2024-02-18,64.6
2024-02-19,58.8
2024-02-20,57.1
2024-02-21,56.2
2024-02-22,59.2
2024-02-23,63.4
2024-02-24,68.8
2024-02-25,59.0
2024-02-26,59.2
2024-02-27,57.3
2024-02-28,60.1
2024-02-29,57.1
2024-03-01,54.4
2024-03-02,51.0
2024-03-03,53.5
2024-03-04,56.2
2024-03-05,58.9
2024-03-06,56.9
2024-03-07,59.6
2024-03-08,60.3
2024-03-09,58.0
2024-03-10,57.9
2024-03-11,55.5
2024-03-12,58.2
2024-03-13,61.3
2024-03-14,64.3
2024-03-15,69.7
2024-03-16,63.4
2024-03-17,61.1
2024-03-18,61.0
2024-03-19,58.4
2024-03-20,59.4
2024-03-21,61.2
2024-03-22,63.4
2024-03-23,55.6
2024-03-24,58.9
2024-03-25,57.2
2024-03-26,58.7
2024-03-27,57.7
2024-03-28,56.8
2024-03-29,54.4
2024-03-30,59.8
2024-03-31,59.8
2024-04-01,64.1
2024-04-02,59.2
2024-04-03,57.9
2024-04-04,51.2
2024-04-05,55.1
2024-04-06,55.2
2024-04-07,59.4
2024-04-08,64.4
2024-04-09,61.1
2024-04-10,72.6
2024-04-11,66.1
2024-04-12,57.8
2024-04-13,55.2
2024-04-14,57.3
2024-04-15,58.9
2024-04-16,63.8
2024-04-17,70.4
2024-04-18,68.5
2024-04-19,57.9
2024-04-20,66.0
2024-04-21,65.4
2024-04-22,64.7
2024-04-23,62.6
2024-04-24,61.0
2024-04-25,60.4
2024-04-26,60.8
2024-04-27,62.9
2024-04-28,66.2
2024-04-29,67.5
2024-04-30,66.0
2024-05-01,71.4
2024-05-02,69.8
2024-05-03,66.7
2024-05-04,54.6
2024-05-05,56.7
2024-05-06,57.5
2024-05-07,62.5
2024-05-08,77.8
2024-05-09,82.8
2024-05-10,71.5
2024-05-11,67.3
2024-05-12,61.2
2024-05-13,59.5
2024-05-14,60.4
2024-05-15,61.0
2024-05-16,62.2
2024-05-17,63.0
2024-05-18,61.9
2024-05-19,64.5
2024-05-20,64.3
2024-05-21,72.4
2024-05-22,72.1
2024-05-23,67.0
2024-05-24,58.1
2024-05-25,59.3
2024-05-26,64.1
2024-05-27,59.8
2024-05-28,67.3
2024-05-29,75.0
2024-05-30,69.6
2024-05-31,65.2
2024-06-01,69.8
2024-06-02,69.4
2024-06-03,62.6
2024-06-04,86.7
2024-06-05,76.0
2024-06-06,62.4
2024-06-07,64.3
2024-06-08,64.1
2024-06-09,66.9
2024-06-10,64.3
2024-06-11,75.1
2024-06-12,65.9
2024-06-13,61.0
2024-06-14,73.1
2024-06-15,74.5
2024-06-16,74.6
2024-06-17,75.2
2024-06-18,71.2
2024-06-19,60.3
2024-06-20,61.7
2024-06-21,61.1
2024-06-22,65.2
2024-06-23,62.8
2024-06-24,64.3
2024-06-25,63.4
2024-06-26,64.7
2024-06-27,71.3
2024-06-28,67.5
2024-06-29,67.1
2024-06-30,77.3
2024-07-01,73.7
2024-07-02,74.8
2024-07-03,75.9
2024-07-04,66.6
2024-07-05,68.3
2024-07-06,69.1
2024-07-07,67.8
2024-07-08,65.6
2024-07-09,66.6
2024-07-10,68.8
2024-07-11,71.0
2024-07-12,66.1
2024-07-13,65.5
2024-07-14,64.5
2024-07-15,65.1
2024-07-16,65.9
2024-07-17,69.6
2024-07-18,72.8
2024-07-19,85.8
2024-07-20,78.4
2024-07-21,69.4
2024-07-22,68.1
2024-07-23,72.4
2024-07-24,71.7
2024-07-25,65.2
2024-07-26,64.4
2024-07-27,61.9
2024-07-28,65.2
2024-07-29,65.8
2024-07-30,65.7
2024-07-31,63.8
2024-08-01,64.2
2024-08-02,67.2
2024-08-03,64.4
2024-08-04,63.2
2024-08-05,65.3
2024-08-06,67.6
2024-08-07,65.4
2024-08-08,62.5
2024-08-09,66.7
2024-08-10,70.1
2024-08-11,60.9
2024-08-12,65.9
2024-08-13,74.9
2024-08-14,74.4
2024-08-15,77.6
2024-08-16,75.9
2024-08-17,69.9
2024-08-18,66.5
2024-08-19,71.5
2024-08-20,78.7
2024-08-21,66.6
2024-08-22,66.1
2024-08-23,68.8
2024-08-24,69.9
2024-08-25,72.5
2024-08-26,72.1
2024-08-27,72.2
2024-08-28,71.5
2024-08-29,66.2
2024-08-30,66.0
2024-08-31,66.1
2024-09-01,68.5
2024-09-02,69.0
2024-09-03,86.2
2024-09-04,68.0
2024-09-05,66.7
2024-09-06,68.0
2024-09-07,64.8
2024-09-08,64.3
2024-09-09,65.8
2024-09-10,63.4
2024-09-11,74.0
2024-09-12,70.7
2024-09-13,68.9
2024-09-14,65.8
2024-09-15,65.3
2024-09-16,66.8
2024-09-17,61.6
2024-09-18,68.2
2024-09-19,62.8
2024-09-20,62.9
2024-09-21,67.5
2024-09-22,65.8
2024-09-23,91.9
2024-09-24,76.0
2024-09-25,64.0
2024-09-26,65.2
2024-09-27,78.9
2024-09-28,63.4
2024-09-29,65.9
2024-09-30,82.3
2024-10-01,100.2
2024-10-02,92.4
2024-10-03,73.8
2024-10-04,74.3
2024-10-05,96.6
2024-10-06,97.5
2024-10-07,90.2
2024-10-08,76.4
2024-10-09,67.9
2024-10-10,64.7
2024-10-11,64.8
2024-10-12,70.2
2024-10-13,70.7
2024-10-14,66.2
2024-10-15,69.3
2024-10-16,66.4
2024-10-17,69.9
2024-10-18,76.9
2024-10-19,82.6
2024-10-20,78.8
2024-10-21,63.7
2024-10-22,61.6
2024-10-23,69.0
2024-10-24,76.1
2024-10-25,74.4
2024-10-26,70.8
2024-10-27,64.3
2024-10-28,60.7
2024-10-29,60.7
2024-10-30,62.1
2024-10-31,60.1
2024-11-01,62.7
2024-11-02,61.8
2024-11-03,69.0
2024-11-04,66.7
2024-11-05,64.9
2024-11-06,68.8
2024-11-07,69.7
2024-11-08,67.9
2024-11-09,65.2
2024-11-10,64.2
2024-11-11,59.7
2024-11-12,58.5
2024-11-13,62.0
2024-11-14,58.4
2024-11-15,56.3
2024-11-16,56.4
2024-11-17,56.4
2024-11-18,56.9
2024-11-19,56.5
2024-11-20,59.1
2024-11-21,61.8
2024-11-22,60.7
2024-11-23,56.5
2024-11-24,59.7
2024-11-25,56.5
2024-11-26,56.2
2024-11-27,57.2
2024-11-28,56.2
2024-11-29,58.0
2024-11-30,56.7
2024-12-01,59.0
2024-12-02,61.6
2024-12-03,61.4
2024-12-04,62.5
2024-12-05,61.6
2024-12-06,63.0
2024-12-07,58.4
2024-12-08,57.7
2024-12-09,60.4
2024-12-10,55.4
2024-12-11,57.4
2024-12-12,55.0
2024-12-13,57.9
2024-12-14,55.6
2024-12-15,54.3
2024-12-16,54.4
2024-12-17,56.4
2024-12-18,55.9
2024-12-19,54.0
2024-12-20,54.2
2024-12-21,58.9
2024-12-22,62.1
2024-12-23,63.5
2024-12-24,59.0
2024-12-25,52.9
2024-12-26,58.3
2024-12-27,58.8
2024-12-28,60.3
2024-12-29,58.2
2024-12-30,56.6
2024-12-31,53.8
